Location,Lat,Lon,Count
"(34.203, -118.3638)",34.203,-118.3638,1
"(34.1722, -118.4019)",34.1722,-118.4019,13
"(34.1903, -118.379)",34.1903,-118.379,17
"(34.194, -118.3864)",34.194,-118.3864,10
"(34.2051, -118.416)",34.2051,-118.416,1
"(34.1722, -118.3711)",34.1722,-118.3711,6
"(34.1739, -118.3932)",34.1739,-118.3932,1
"(34.1946, -118.3835)",34.1946,-118.3835,20
"(34.1627, -118.3704)",34.1627,-118.3704,1
"(34.1522, -118.3965)",34.1522,-118.3965,19
"(34.1429, -118.403)",34.1429,-118.403,50
"(34.162, -118.3729)",34.162,-118.3729,4
"(34.1867, -118.3888)",34.1867,-118.3888,44
"(34.2012, -118.379)",34.2012,-118.379,41
"(34.1629, -118.3848)",34.1629,-118.3848,13
"(34.158, -118.3569)",34.158,-118.3569,12
"(34.1444, -118.3956)",34.1444,-118.3956,15
"(34.1903, -118.3954)",34.1903,-118.3954,9
"(34.1576, -118.4031)",34.1576,-118.4031,11
"(34.1794, -118.3703)",34.1794,-118.3703,35
"(34.2048, -118.379)",34.2048,-118.379,13
"(34.1681, -118.3773)",34.1681,-118.3773,12
"(34.163, -118.379)",34.163,-118.379,13
"(34.1758, -118.3812)",34.1758,-118.3812,6
"(34.1852, -118.3703)",34.1852,-118.3703,3
"(34.2012, -118.4041)",34.2012,-118.4041,8
"(34.2072, -118.3965)",34.2072,-118.3965,2
"(34.1921, -118.3965)",34.1921,-118.3965,40
"(34.1504, -118.4052)",34.1504,-118.4052,28
"(34.166, -118.3774)",34.166,-118.3774,1
"(34.1577, -118.3823)",34.1577,-118.3823,3
"(34.1687, -118.3703)",34.1687,-118.3703,3
"(34.1399, -118.3789)",34.1399,-118.3789,24
"(34.1722, -118.3703)",34.1722,-118.3703,60
"(34.1922, -118.3823)",34.1922,-118.3823,4
"(34.1849, -118.3899)",34.1849,-118.3899,1
"(34.1649, -118.3686)",34.1649,-118.3686,7
"(34.1831, -118.4111)",34.1831,-118.4111,1
"(34.2199, -118.4144)",34.2199,-118.4144,9
"(34.1545, -118.3965)",34.1545,-118.3965,9
"(34.1385, -118.368)",34.1385,-118.368,3
"(34.1413, -118.3877)",34.1413,-118.3877,51
"(34.1722, -118.3741)",34.1722,-118.3741,7
"(34.194, -118.3757)",34.194,-118.3757,9
"(34.1322, -118.3837)",34.1322,-118.3837,10
"(34.17, -118.3763)",34.17,-118.3763,5
"(34.1236, -118.3753)",34.1236,-118.3753,15
"(34.1903, -118.391)",34.1903,-118.391,5
"(34.1504, -118.4138)",34.1504,-118.4138,16
"(34.2048, -118.3682)",34.2048,-118.3682,1
"(34.2085, -118.3791)",34.2085,-118.3791,19
"(34.1545, -118.3684)",34.1545,-118.3684,9
"(34.2027, -118.3745)",34.2027,-118.3745,7
"(34.154, -118.3666)",34.154,-118.3666,1
"(34.1451, -118.3626)",34.1451,-118.3626,2
"(34.1904, -118.3681)",34.1904,-118.3681,4
"(34.1922, -118.3834)",34.1922,-118.3834,3
"(34.1324, -118.3443)",34.1324,-118.3443,5
"(34.1649, -118.3659)",34.1649,-118.3659,5
"(34.1649, -118.3855)",34.1649,-118.3855,5
"(34.1722, -118.3801)",34.1722,-118.3801,11
"(34.194, -118.3812)",34.194,-118.3812,8
"(34.194, -118.3659)",34.194,-118.3659,9
"(34.1767, -118.379)",34.1767,-118.379,3
"(34.167, -118.3752)",34.167,-118.3752,9
"(34.154, -118.3801)",34.154,-118.3801,1
"(34.1794, -118.3889)",34.1794,-118.3889,6
"(34.1758, -118.3746)",34.1758,-118.3746,31
"(34.1649, -118.3653)",34.1649,-118.3653,11
"(34.2063, -118.4182)",34.2063,-118.4182,2
"(34.1794, -118.379)",34.1794,-118.379,37
"(34.1667, -118.3965)",34.1667,-118.3965,6
"(34.1794, -118.3855)",34.1794,-118.3855,10
"(34.1226, -118.3515)",34.1226,-118.3515,1
"(34.1922, -118.3997)",34.1922,-118.3997,6
"(34.1922, -118.4052)",34.1922,-118.4052,9
"(34.1504, -118.416)",34.1504,-118.416,3
"(34.1867, -118.3768)",34.1867,-118.3768,2
"(34.1722, -118.3899)",34.1722,-118.3899,18
"(34.1813, -118.3703)",34.1813,-118.3703,5
"(34.154, -118.4138)",34.154,-118.4138,6
"(34.1451, -118.3875)",34.1451,-118.3875,15
"(34.174, -118.3888)",34.174,-118.3888,1
"(34.1886, -118.3877)",34.1886,-118.3877,23
"(34.1794, -118.3998)",34.1794,-118.3998,4
"(34.1449, -118.4125)",34.1449,-118.4125,10
"(34.1922, -118.3812)",34.1922,-118.3812,3
"(34.2037, -118.4094)",34.2037,-118.4094,16
"(34.1493, -118.4094)",34.1493,-118.4094,1
"(34.1416, -118.3732)",34.1416,-118.3732,1
"(34.1448, -118.4117)",34.1448,-118.4117,7
"(34.127, -118.3792)",34.127,-118.3792,28
"(34.1994, -118.4116)",34.1994,-118.4116,1
"(34.1886, -118.4052)",34.1886,-118.4052,6
"(34.1476, -118.3542)",34.1476,-118.3542,9
"(34.167, -118.3703)",34.167,-118.3703,12
"(34.1922, -118.3703)",34.1922,-118.3703,17
"(34.17, -118.3752)",34.17,-118.3752,4
"(34.1649, -118.3757)",34.1649,-118.3757,43
"(34.1326, -118.3898)",34.1326,-118.3898,4
"(34.2048, -118.366)",34.2048,-118.366,1
